date,price
23-12-2015,443
24-12-2015,455
25-12-2015,456
26-12-2015,417
27-12-2015,424
28-12-2015,421
29-12-2015,432
30-12-2015,427
31-12-2015,431
01-01-2016,434
02-01-2016,434
03-01-2016,430
04-01-2016,434
05-01-2016,432
06-01-2016,431
07-01-2016,456
08-01-2016,455
09-01-2016,449
10-01-2016,447
11-01-2016,448
12-01-2016,446
13-01-2016,432
14-01-2016,429
15-01-2016,366
16-01-2016,385
17-01-2016,386
18-01-2016,385
19-01-2016,379
20-01-2016,419
21-01-2016,408
22-01-2016,377
23-01-2016,390
24-01-2016,403
25-01-2016,392
26-01-2016,392
27-01-2016,394
28-01-2016,380
29-01-2016,379
30-01-2016,377
31-01-2016,364
01-02-2016,371
02-02-2016,373
03-02-2016,368
04-02-2016,388
05-02-2016,386
06-02-2016,375
07-02-2016,376
08-02-2016,371
09-02-2016,374
10-02-2016,380
11-02-2016,377
12-02-2016,383
13-02-2016,390
14-02-2016,404
15-02-2016,399
16-02-2016,407
17-02-2016,417
18-02-2016,421
19-02-2016,419
20-02-2016,441
21-02-2016,439
22-02-2016,438
23-02-2016,420
24-02-2016,423
25-02-2016,423
26-02-2016,427
27-02-2016,432
28-02-2016,433
29-02-2016,437
01-03-2016,431
02-03-2016,424
03-03-2016,420
04-03-2016,409
05-03-2016,397
06-03-2016,405
07-03-2016,414
08-03-2016,412
09-03-2016,412
10-03-2016,416
11-03-2016,419
12-03-2016,411
13-03-2016,412
14-03-2016,415
15-03-2016,416
16-03-2016,417
17-03-2016,418
18-03-2016,408
19-03-2016,407
20-03-2016,412
21-03-2016,411
22-03-2016,416
23-03-2016,418
24-03-2016,415
25-03-2016,416
26-03-2016,417
27-03-2016,425
28-03-2016,423
29-03-2016,416
30-03-2016,413
31-03-2016,415
01-04-2016,417
02-04-2016,420
03-04-2016,418
04-04-2016,419
05-04-2016,423
06-04-2016,422
07-04-2016,421
08-04-2016,418
09-04-2016,416
10-04-2016,421
11-04-2016,423
12-04-2016,426
13-04-2016,424
14-04-2016,425
15-04-2016,430
16-04-2016,431
17-04-2016,428
18-04-2016,429
19-04-2016,436
20-04-2016,442
21-04-2016,451
22-04-2016,447
23-04-2016,452
24-04-2016,460
25-04-2016,460
26-04-2016,468
27-04-2016,445
28-04-2016,449
29-04-2016,457
30-04-2016,448
01-05-2016,453
02-05-2016,444
03-05-2016,45
04-05-2016,447
05-05-2016,449
06-05-2016,462
07-05-2016,459
08-05-2016,459
09-05-2016,462
10-05-2016,450
11-05-2016,452
12-05-2016,455
13-05-2016,456
14-05-2016,456
15-05-2016,458
16-05-2016,455
17-05-2016,452
18-05-2016,453
19-05-2016,441
20-05-2016,442
21-05-2016,443
22-05-2016,439
23-05-2016,443
24-05-2016,446
25-05-2016,449
26-05-2016,454
27-05-2016,474
28-05-2016,529
29-05-2016,525
30-05-2016,534
31-05-2016,531
01-06-2016,539
02-06-2016,539
03-06-2016,570
04-06-2016,574
05-06-2016,574
06-06-2016,586
07-06-2016,578
08-06-2016,583
09-06-2016,578
10-06-2016,579
11-06-2016,598
12-06-2016,672
13-06-2016,704
14-06-2016,686
15-06-2016,693
16-06-2016,765
17-06-2016,749
18-06-2016,757
19-06-2016,764
20-06-2016,734
21-06-2016,665
22-06-2016,592
23-06-2016,623
24-06-2016,661
25-06-2016,666
26-06-2016,629
27-06-2016,648
28-06-2016,647
29-06-2016,637
30-06-2016,672
01-07-2016,678
02-07-2016,693
03-07-2016,665
04-07-2016,679
05-07-2016,668
06-07-2016,676
07-07-2016,639
08-07-2016,666
09-07-2016,654
10-07-2016,650
11-07-2016,649
12-07-2016,671
13-07-2016,658
14-07-2016,660
15-07-2016,666
16-07-2016,664
17-07-2016,678
18-07-2016,675
19-07-2016,675
20-07-2016,671
21-07-2016,665
22-07-2016,651
23-07-2016,655
24-07-2016,661
25-07-2016,655
26-07-2016,651
27-07-2016,656
